gutenberg_id,text
3676,THE FIREFLY OF FRANCE
3676,
3676,by Marion Polk Angellotti
3676,
3676,
3676,
3676,
3676,TO
3676,
3676,THE MEMORY OF
3676,
3676,THE HEROIC GUYNEMER
3676,
3676,"""THE ACE OF THE ACES"""
3676,
3676,
3676,     PREPARER'S NOTE
3676,
3676,"     This text was prepared from a 1918 edition,"
3676,"     published by The Century Co., New York."
3676,
3676,
3676,
3676,
3676,
3676,THE FIREFLY OF FRANCE
3676,
3676,
3676,
3676,CHAPTER I
3676,
3676,ALARUMS AND EXCURSIONS
3676,
3676,"The restaurant of the Hotel St. Ives seems, as I look back on it, an odd"
3676,"spot to have served as stage wings for a melodrama, pure and simple. Yet"
3676,a melodrama did begin there. No other word fits the case. The inns
3676,"of the Middle Ages, which, I believe, reeked with trap-doors and"
3676,"cutthroats, pistols and poisoned daggers, offered nothing weirder than"
3676,"my experience, with its first scene set beneath this roof. The food"
3676,"there is superperfect, every luxury surrounds you, millionaires and"
3676,"traveling princes are your fellow-guests. Still, sooner than pass"
3676,"another night there, I would sleep airily in Central Park, and if I had"
3676,"a friend seeking New York quarters, I would guide him toward some other"
3676,place.
3676,
3676,It was pure chance that sent me to the St. Ives for the night before my
3676,steamer sailed. Closing the doors of my apartment the previous week and
3676,bidding good-bye to the servants who maintained me there in bachelor
3676,"state and comfort, I had accompanied my friend Dick Forrest on a"
3676,farewell yacht cruise from which I returned to find the first two hotels
3676,"of my seeking packed from cellar to roof. But the third had a free room,"
3676,and I took it without the ghost of a presentiment. What would or would
3676,not have happened if I had not taken it is a thing I like to speculate
3676,on.
3676,
3676,"To begin with, I should in due course have joined an ambulance section"
3676,somewhere in France. I should not have gone hobbling on crutches for a
3676,painful three months or more. I should not have in my possession
3676,"four shell fragments, carefully extracted by a French surgeon from my"
3676,fortunately hard head. Nor should I have lived through the dreadful
3676,"moment when that British officer at Gibraltar held up those papers,"
3676,"neatly folded and sealed and bound with bright, inappropriately cheerful"
3676,"red tape, and with an icy eye demanded an explanation beyond human power"
3676,to afford.
3676,
3676,"All this would have been spared me. But, on the other hand, I could not"
3676,now look back to that dinner on the Turin-Paris _rapide_. I should never
3676,"have seen that little, ruined French village, with guns booming in the"
3676,distance and the nearer sound of water running through tall reeds and
3676,"over green stones and between great mossy trees. Indeed, my life would"
3676,"now be, comparatively speaking, a cheerless desert, because I should"
3676,"never have met the most beautiful--Well, all clouds have silver linings;"
3676,some have golden ones with rainbow edges. No; I am not sorry I stopped
3676,at the St. Ives; not in the least!
3676,
3676,"At any rate, there I was at eight o'clock of a Wednesday evening in a"
3676,"restaurant full of the usual lights and buzz and glitter, among women"
3676,"in soft-hued gowns, and men in their hideous substitute for the"
3676,"same. Across the table sat my one-time guardian, dear old Peter"
3676,"Dunstan,--Dunny to me since the night when I first came to him, a very"
3676,"tearful, lonesome, small boy whose loneliness went away forever with his"
3676,"welcoming hug,--just arrived from home in Washington to eat a farewell"
3676,dinner with me and to impress upon me for the hundredth time that I had
3676,better not go.
3676,
